Category,category_id,Subcategory,subcateogory_id,amount,year
議会費,1,議会費,101,235715000,2014 
総務費,2,総務管理費,201,1486192000,2014 
総務費,2,徴税費,202,229973000,2014 
総務費,2,戸籍住民基本台帳費,203,164322000,2014 
総務費,2,選挙費,204,17576000,2014 
総務費,2,統計調査費,205,8525000,2014 
総務費,2,監査委員費,206,20616000,2014 
民生費,3,社会福祉費,301,2496982000,2014 
民生費,3,児童福祉費,302,2725204000,2014 
民生費,3,生活保護費,303,402638000,2014 
民生費,3,災害救助費,304,2000,2014 
衛生費,4,保健衛生費,401,1363390000,2014 
衛生費,4,清掃費,402,804822000,2014 
衛生費,4,上水道費,403,27535000,2014 
労働費,5,労働諸費,501,10227000,2014 
農林水産業費,6,農業費,601,804197000,2014 
農林水産業費,6,林業費,602,42013000,2014 
農林水産業費,6,水産業費,603,31888000,2014 
商工費,7,商工費,701,2038534000,2014 
土木費,8,土木管理費,801,67952000,2014 
土木費,8,道路橋りょう費,802,364074000,2014 
土木費,8,河川費,803,17698000,2014 
土木費,8,港湾費,804,110000,2014 
土木費,8,都市計画費,805,801549000,2014 
土木費,8,住宅費,806,63570000,2014 
消防費,9,消防費,901,698516000,2014 
教育費,10,教育総務費,1001,408965000,2014 
教育費,10,小学校費,1002,582373000,2014 
教育費,10,中学校費,1002,161590000,2014 
教育費,10,幼稚園費,1003,236142000,2014 
教育費,10,社会教育費,1004,507445000,2014 
教育費,10,保健体育費,1005,393813000,2014 
災害復旧費,11,鉱害復旧施設維持管理費,1101,367888000,2014 
災害復旧費,11,農林水産施設災害復旧費,1102,1744000,2014 
災害復旧費,11,公共土木施設災害復旧費,1103,2000000,2014 
公債費,12,公債費,1201,2698619000,2014 
諸支出金,13,普通財産取得費,1301,1000,2014 
予備費,14,予備費,1401,30000000,2014 
